date,hls_files,opera_files,modis_files,smap9_files,smap36_files,smap_s1l2_files,viirs_jpss1_l2_files,viirs_npp_l2_files,viirs_l3_files,total_files_all_sources
1903-07-22,0,0,0,0,0,0,0,1,0,1
2016-06-12,0,0,0,0,0,0,0,1,0,1
2017-05-11,0,0,0,0,0,0,2,0,0,2
2017-05-15,0,0,0,0,0,0,2,0,0,2
2019-12-08,0,0,0,0,0,0,0,1,0,1
2019-12-13,0,0,0,0,0,0,0,1,0,1
2024-01-02,0,0,0,0,0,0,304,151,135,590
2024-07-20,0,0,0,1,1,6,0,0,0,8
2024-07-21,0,0,0,1,1,5,0,0,0,7
2024-07-22,0,0,0,1,1,15,0,0,0,17
2024-07-23,0,0,0,1,1,0,0,0,0,2
2024-07-24,0,0,0,1,1,14,0,0,0,16
2024-07-25,0,0,0,1,1,0,0,0,0,2
2024-07-26,0,0,0,1,1,5,0,0,0,7
2024-07-27,0,0,0,1,1,11,0,0,0,13
2024-07-28,0,0,0,1,1,2,0,0,0,4
2024-07-29,0,0,0,1,1,4,0,0,0,6
2024-07-30,0,0,0,1,1,11,0,0,0,13
2024-07-31,0,0,0,1,1,0,0,0,0,2
2024-08-01,0,0,0,1,1,5,0,0,0,7
2024-08-02,0,0,0,1,1,6,0,0,0,8
2024-08-03,0,0,0,1,1,0,0,0,0,2
2024-08-04,0,0,0,1,1,17,0,0,0,19
2024-08-05,0,285,0,1,1,0,0,0,0,287
2024-08-06,0,836,0,1,1,13,0,0,0,851
2024-08-07,0,209,0,1,1,1,0,0,0,212
2024-08-08,0,589,0,1,1,6,0,0,0,597
2024-08-09,0,475,0,1,1,6,0,0,0,483
2024-08-10,0,760,0,1,1,5,0,0,0,767
2024-08-11,0,437,0,1,1,0,0,0,0,439
2024-08-12,0,722,0,1,1,1,0,0,0,725
2024-08-13,0,1102,0,1,1,6,0,0,0,1110
2024-08-14,0,646,0,1,1,4,0,0,0,652
2024-08-15,0,874,0,1,1,17,0,0,0,893
2024-08-16,0,893,0,1,1,0,0,0,0,895
2024-08-17,0,589,0,1,1,14,0,0,0,605
2024-08-18,0,760,0,1,1,0,0,0,0,762
2024-08-19,0,532,0,1,1,5,0,0,0,539
2024-08-20,0,741,0,1,1,10,0,0,0,753
